"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","tf","sim","t_ne","selalpha","pstar"
"18688",0.01,0.22,"SA",20000,1e-08,1e-08,0.5,0.5,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.25_160000_0.500000_NA",8,0.28125,0.5
"18689",0.01,0.1,"SA",20000,1e-08,1e-08,0.5,1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.50_1.00_0.25_160000_0.500000_NA",8,0.4375,0.17
"18692",0.01,0.18,"SA",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.50_160000_0.500000_NA",8,0.02,0.5
"18693",0.01,0.17,"SA",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.50_160000_0.500000_NA",8,0.005,0.5
"18694",0.01,0.17,"SA",20000,1e-08,1e-08,0.1,0.1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.25_160000_0.500000_NA",8,0.05125,0.5
"18695",0.01,0.13,"SA",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.02_0.02_0.25_160000_0.500000_NA",8,0.01005,0.5
"18698",0.01,0.08,"SA",20000,1e-08,1e-08,1,0.5,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_1.00_0.50_0.25_160000_0.500000_NA",8,0.4375,0.17
"18702",0.01,0.04,"SA",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.10_0.05_0.25_160000_0.500000_NA",8,0.038125,0.17
"18703",0.01,0.03,"SA",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.10_0.20_0.25_160000_0.500000_NA",8,0.0775,0.17
"18704",0.01,0.03,"SA",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.02_0.01_0.25_160000_0.500000_NA",8,0.007525,0.17
"18705",0.01,0.02,"SA",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.50_0.20_0.25_160000_0.500000_NA",8,0.1875,0.07
"18707",0.01,0.02,"SA",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.20_0.50_0.25_160000_0.500000_NA",8,0.1875,0.07
"18708",0.01,0.02,"SA",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.05_0.10_0.25_160000_0.500000_NA",8,0.038125,0.17
"18710",0.01,0.01,"SA",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.20_0.10_0.25_160000_0.500000_NA",8,0.0775,0.17
"18711",0.01,0.01,"SA",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.01_0.02_0.25_160000_0.500000_NA",8,0.007525,0.17
