"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","tf","sim","t_ne","selalpha","pstar"
"18185",0.01,0.07,"AP",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,0.167221,"0.01_AP_20000_1e-08_1e-08_0.01_0.02_0.25_160000_0.167221_NA",8,0.015025,0.17
"18186",0.01,0.06,"AP",20000,1e-08,1e-08,1,0.5,0.25,160000,100,0.192308,"0.01_AP_20000_1e-08_1e-08_1.00_0.50_0.25_160000_0.192308_NA",8,0.8125,0.19
"18187",0.01,0.06,"AP",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,0.167221,"0.01_AP_20000_1e-08_1e-08_0.02_0.01_0.25_160000_0.167221_NA",8,0.015025,0.17
"18188",0.01,0.05,"AP",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,0.172131,"0.01_AP_20000_1e-08_1e-08_0.20_0.10_0.25_160000_0.172131_NA",8,0.1525,0.17
"18189",0.01,0.03,"AP",20000,1e-08,1e-08,0.05,0.02,0.25,160000,100,0.072954,"0.01_AP_20000_1e-08_1e-08_0.05_0.02_0.25_160000_0.072954_NA",8,0.035125,0.07
"18190",0.01,0.03,"AP",20000,1e-08,1e-08,0.02,0.05,0.25,160000,100,0.072954,"0.01_AP_20000_1e-08_1e-08_0.02_0.05_0.25_160000_0.072954_NA",8,0.035125,0.07
"18448",0.01,0,"SA",20000,1e-08,1e-08,1,0.5,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_1.00_0.50_0.25_160000_0.166667_NA",8,0.4375,0.17
"18449",0.01,0,"SA",20000,1e-08,1e-08,0.5,1,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.50_1.00_0.25_160000_0.166667_NA",8,0.4375,0.17
"18450",0.01,0.42,"SA",20000,1e-08,1e-08,1,1,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.50_160000_0.500000_NA",8,0.5,0.5
"18451",0.01,0.3,"SA",20000,1e-08,1e-08,1,1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.25_160000_0.500000_NA",8,0.625,0.5
"18452",0.01,0.2,"SA",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.25_160000_0.500000_NA",8,0.105,0.5
"18453",0.01,0.2,"SA",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.01_0.01_0.25_160000_0.500000_NA",8,0.0050125,0.5
"18455",0.01,0.24,"SA",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.50_160000_0.500000_NA",8,0.125,0.5
"18456",0.01,0.24,"SA",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.50_160000_0.500000_NA",8,0.00125,0.5
"18457",0.01,0.23,"SA",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.25_160000_0.500000_NA",8,0.0253125,0.5
"18458",0.01,0.22,"SA",20000,1e-08,1e-08,0.5,0.5,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.25_160000_0.500000_NA",8,0.28125,0.5
"18459",0.01,0.1,"SA",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.20_0.10_0.25_160000_0.166667_NA",8,0.0775,0.17
"18461",0.01,0.18,"SA",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.50_160000_0.500000_NA",8,0.02,0.5
"18462",0.01,0.17,"SA",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.50_160000_0.500000_NA",8,0.005,0.5
"18463",0.01,0.17,"SA",20000,1e-08,1e-08,0.1,0.1,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.25_160000_0.500000_NA",8,0.05125,0.5
"18464",0.01,0.13,"SA",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,0.5,"0.01_SA_20000_1e-08_1e-08_0.02_0.02_0.25_160000_0.500000_NA",8,0.01005,0.5
"18465",0.01,0.09,"SA",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.10_0.05_0.25_160000_0.166667_NA",8,0.038125,0.17
"18466",0.01,0.09,"SA",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.05_0.10_0.25_160000_0.166667_NA",8,0.038125,0.17
"18467",0.01,0.08,"SA",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.10_0.20_0.25_160000_0.166667_NA",8,0.0775,0.17
"18468",0.01,0.08,"SA",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.01_0.02_0.25_160000_0.166667_NA",8,0.007525,0.17
"18469",0.01,0.06,"SA",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,0.166667,"0.01_SA_20000_1e-08_1e-08_0.02_0.01_0.25_160000_0.166667_NA",8,0.007525,0.17
"18470",0.01,0.02,"SA",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,0.071429,"0.01_SA_20000_1e-08_1e-08_0.50_0.20_0.25_160000_0.071429_NA",8,0.1875,0.07
"18471",0.01,0.01,"SA",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,0.071429,"0.01_SA_20000_1e-08_1e-08_0.20_0.50_0.25_160000_0.071429_NA",8,0.1875,0.07
