"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","sim","t_ne","selalpha","pstar"
"808",0.01,0.06,"SA",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.20_0.25_160000_NA_NA",8,0.0775,0.17
"826",0.01,0.06,"OD",20000,1e-08,1e-08,0.5,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.50_0.10_0.00_160000_NA_NA",8,0.6,0.17
"827",0.01,0.06,"OD",20000,1e-08,1e-08,0.2,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_0.10_0.00_160000_NA_NA",8,0.3,0.33
"828",0.01,0.06,"OD",20000,1e-08,1e-08,0.1,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.20_0.00_160000_NA_NA",8,0.3,0.33
"829",0.01,0.06,"OD",20000,1e-08,1e-08,0.1,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.02_0.00_160000_NA_NA",8,0.12,0.17
"830",0.01,0.06,"OD",20000,1e-08,1e-08,0.02,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.01_0.00_160000_NA_NA",8,0.03,0.33
"838",0.01,0.06,"AP",20000,1e-08,1e-08,1,0.5,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_1.00_0.50_0.25_160000_NA_NA",8,0.8125,0.19
"839",0.01,0.06,"AP",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_0.20_0.25_160000_NA_NA",8,0.3625,0.09
"840",0.01,0.06,"AP",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.50_0.25_160000_NA_NA",8,0.3625,0.09
"841",0.01,0.06,"AP",20000,1e-08,1e-08,0.02,0.05,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.05_0.25_160000_NA_NA",8,0.035125,0.07
"868",0.01,0.05,"OD",20000,1e-08,1e-08,1,0.5,0,160000,100,"0.01_OD_20000_1e-08_1e-08_1.00_0.50_0.00_160000_NA_NA",8,1.5,0.33
"869",0.01,0.05,"OD",20000,1e-08,1e-08,1,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_1.00_0.20_0.00_160000_NA_NA",8,1.2,0.17
"870",0.01,0.05,"OD",20000,1e-08,1e-08,0.2,1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_1.00_0.00_160000_NA_NA",8,1.2,0.17
"871",0.01,0.05,"OD",20000,1e-08,1e-08,0.1,1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_1.00_0.00_160000_NA_NA",8,1.1,0.09
"872",0.01,0.05,"OD",20000,1e-08,1e-08,0.1,0.5,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.50_0.00_160000_NA_NA",8,0.6,0.17
"873",0.01,0.05,"OD",20000,1e-08,1e-08,0.02,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.10_0.00_160000_NA_NA",8,0.12,0.17
"874",0.01,0.05,"OD",20000,1e-08,1e-08,0.02,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.05_0.00_160000_NA_NA",8,0.07,0.29
"882",0.01,0.05,"AP",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.10_0.20_0.25_160000_NA_NA",8,0.1525,0.17
"883",0.01,0.05,"AP",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.01_0.25_160000_NA_NA",8,0.015025,0.17
"911",0.01,0.04,"OD",20000,1e-08,1e-08,0.5,1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.50_1.00_0.00_160000_NA_NA",8,1.5,0.33
"913",0.01,0.04,"OD",20000,1e-08,1e-08,0.01,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.02_0.00_160000_NA_NA",8,0.03,0.33
"933",0.01,0.03,"SA",20000,1e-08,1e-08,0.5,1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.50_1.00_0.25_160000_NA_NA",8,0.4375,0.17
"946",0.01,0.03,"OD",20000,1e-08,1e-08,0.2,0.5,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_0.50_0.00_160000_NA_NA",8,0.7,0.29
"947",0.01,0.03,"OD",20000,1e-08,1e-08,0.01,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.05_0.00_160000_NA_NA",8,0.06,0.17
"954",0.01,0.03,"AP",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.01_0.02_0.25_160000_NA_NA",8,0.015025,0.17
