"pstar","seltype_recoded","selalpha","pred_power"
0.45,"OD",0.625,0.208448228225425
0.46,"OD",0.625,0.220835215671106
0.47,"OD",0.625,0.233740932454052
0.48,"OD",0.625,0.247161617935859
0.49,"OD",0.625,0.261090317177593
0.5,"OD",0.625,0.275516695637407
0,"AP",0.05,0.00215532218807301
0.01,"AP",0.05,0.00236980253971872
0.02,"AP",0.05,0.00260557052140394
0.03,"AP",0.05,0.00286472733895639
0.04,"AP",0.05,0.00314957917035997
0.05,"AP",0.05,0.00346265665369296
0.06,"AP",0.05,0.00380673612160393
0.07,"AP",0.05,0.00418486271626035
0.08,"AP",0.05,0.00460037552397174
0.09,"AP",0.05,0.00505693487289668
0.1,"AP",0.05,0.00555855193998939
0.11,"AP",0.05,0.00610962081413418
0.12,"AP",0.05,0.0067149531606539
0.13,"AP",0.05,0.00737981562733614
0.14,"AP",0.05,0.00810997012292653
0.15,"AP",0.05,0.00891171708465036
0.16,"AP",0.05,0.00979194183051015
0.17,"AP",0.05,0.0107581640634153
0.18,"AP",0.05,0.0118185905559362
0.19,"AP",0.05,0.0129821709946764
0.2,"AP",0.05,0.01425865689967
0.21,"AP",0.05,0.0156586634542786
0.22,"AP",0.05,0.017193733981916
0.23,"AP",0.05,0.0188764066843934
0.24,"AP",0.05,0.0207202831093055
0.25,"AP",0.05,0.022740097637011
0.26,"AP",0.05,0.0249517870676075
0.27,"AP",0.05,0.0273725591411206
0.28,"AP",0.05,0.0300209585364148
0.29,"AP",0.05,0.0329169285631345
0.3,"AP",0.05,0.0360818663843153
0.31,"AP",0.05,0.0395386691846352
0.32,"AP",0.05,0.043311768232263
0.33,"AP",0.05,0.0474271472755039
0.34,"AP",0.05,0.0519123411775299
0.35,"AP",0.05,0.0567964101371043
0.36,"AP",0.05,0.0621098842904333
0.37,"AP",0.05,0.0678846729669143
0.38,"AP",0.05,0.0741539324164528
0.39,"AP",0.05,0.0809518854852165
0.4,"AP",0.05,0.0883135865481697
0.41,"AP",0.05,0.0962746250794368
0.42,"AP",0.05,0.104870761634448
0.43,"AP",0.05,0.114137490817466
0.44,"AP",0.05,0.124109527104202
0.45,"AP",0.05,0.134820211268065
0.46,"AP",0.05,0.146300837693465
0.47,"AP",0.05,0.158579906098976
0.48,"AP",0.05,0.17168230514583
0.49,"AP",0.05,0.185628440026224
0.5,"AP",0.05,0.200433321292281
0,"AP",0.2,0.00252000504875845
0.01,"AP",0.2,0.00277099665970011
0.02,"AP",0.2,0.00304691058509731
0.03,"AP",0.2,0.00335020553932533
0.04,"AP",0.2,0.00368357946917049
0.05,"AP",0.2,0.0040499921347088
0.06,"AP",0.2,0.00445268967534665
0.07,"AP",0.2,0.0048952313043343
0.08,"AP",0.2,0.00538151827840004
0.09,"AP",0.2,0.00591582529069767
0.1,"AP",0.2,0.00650283443444563
0.11,"AP",0.2,0.00714767188077243
0.12,"AP",0.2,0.00785594740654183
0.13,"AP",0.2,0.00863379689531913
0.14,"AP",0.2,0.00948792791597828
0.15,"AP",0.2,0.010425668457347
0.16,"AP",0.2,0.0114550188621143
0.17,"AP",0.2,0.0125847069570893
0.18,"AP",0.2,0.0138242463176211
0.19,"AP",0.2,0.0151839975290839
0.2,"AP",0.2,0.0166752322149997
0.21,"AP",0.2,0.018310199486498
0.22,"AP",0.2,0.020102194328
0.23,"AP",0.2,0.0220656272656148
0.24,"AP",0.2,0.0242160944639453
0.25,"AP",0.2,0.0265704471599974
0.26,"AP",0.2,0.0291468590660066
0.27,"AP",0.2,0.0319648900530437
0.28,"AP",0.2,0.035045544061836
0.29,"AP",0.2,0.0384113187752953
0.3,"AP",0.2,0.0420862441296253
0.31,"AP",0.2,0.0460959062412277
0.32,"AP",0.2,0.050467452792196
0.33,"AP",0.2,0.0552295753600867
0.34,"AP",0.2,0.0604124636159958
0.35,"AP",0.2,0.066047725774299
0.36,"AP",0.2,0.0721682691920139
0.37,"AP",0.2,0.0788081346299057
0.38,"AP",0.2,0.086002277456379
0.39,"AP",0.2,0.0937862890652708
0.4,"AP",0.2,0.102196052066884
0.41,"AP",0.2,0.11126732348359
0.42,"AP",0.2,0.121035241327509
0.43,"AP",0.2,0.131533751647423
0.44,"AP",0.2,0.142794955484569
0.45,"AP",0.2,0.154848378230366
0.46,"AP",0.2,0.167720167656211
0.47,"AP",0.2,0.181432231357368
0.48,"AP",0.2,0.196001329422679
0.49,"AP",0.2,0.211438143628788
0.5,"AP",0.2,0.227746350086313
0,"AP",0.625,0.00392276948135765
0.01,"AP",0.625,0.00431428869312648
0.02,"AP",0.625,0.00474469806342039
0.03,"AP",0.625,0.00521782164172237
0.04,"AP",0.625,0.00573785134548024
0.05,"AP",0.625,0.00630938064239946
0.06,"AP",0.625,0.00693744095671392
0.07,"AP",0.625,0.00762754094159381
0.08,"AP",0.625,0.00838570874862065
0.09,"AP",0.625,0.00921853740820063
0.1,"AP",0.625,0.0101332334105343
0.11,"AP",0.625,0.0111376685437043
0.12,"AP",0.625,0.0122404350017141
0.13,"AP",0.625,0.013450903718747
0.14,"AP",0.625,0.0147792858140374
0.15,"AP",0.625,0.0162366969417669
0.16,"AP",0.625,0.0178352242291747
0.17,"AP",0.625,0.0195879953501839
