alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 0.8 OD 2000 1e-8 1e-8 0.2 1 0 160000 100
0.01 0.8 OD 2000 1e-8 1e-8 0.02 0.1 0 160000 100
0.01 0.8 OD 2000 1e-8 1e-8 0.02 0.05 0 160000 100
0.01 0.8 OD 2000 1e-8 1e-8 0.02 0.02 0 160000 100
0.01 0.8 OD 2000 1e-7 1e-7 0.1 0.1 0 320000 100
0.01 0.89 OD 2000 1e-8 1e-8 1 0.1 0 320000 100
0.01 0.89 OD 2000 1e-8 1e-8 0.5 1 0 320000 100
0.01 0.89 OD 2000 1e-8 1e-8 0.2 1 0 320000 100
0.01 0.89 OD 2000 1e-8 1e-8 0.1 0.5 0 320000 100
0.01 0.89 OD 2000 1e-8 1e-8 0.1 0.1 0 320000 100
0.01 0.89 OD 2000 1e-8 1e-8 0.01 0.02 0 160000 100
0.01 0.88 OD 2000 1e-8 1e-8 0.1 0.05 0 320000 100
0.01 0.88 OD 2000 1e-8 1e-8 0.05 0.1 0 320000 100
0.01 0.88 OD 2000 1e-8 1e-8 0.01 0.01 0 160000 100
0.01 0.87 OD 2000 1e-8 1e-8 1 0.5 0 320000 100
0.01 0.87 OD 2000 1e-8 1e-8 0.05 0.02 0 320000 100
0.01 0.87 OD 2000 1e-8 1e-8 0.02 0.01 0 320000 100
0.01 0.86 OD 2000 1e-8 1e-8 1 1 0 320000 100
0.01 0.86 OD 2000 1e-8 1e-8 0.5 0.2 0 320000 100
0.01 0.85 OD 2000 1e-8 1e-8 0.5 0.5 0 160000 100
0.01 0.85 OD 2000 1e-8 1e-8 0.2 0.2 0 160000 100
0.01 0.85 OD 2000 1e-8 1e-8 0.05 0.02 0 160000 100
0.01 0.84 OD 2000 1e-8 1e-8 0.1 0.5 0 160000 100
0.01 0.84 OD 2000 1e-8 1e-8 0.1 0.2 0 160000 100
0.01 0.84 OD 2000 1e-8 1e-8 0.1 0.02 0 160000 100
0.01 0.84 OD 2000 1e-8 1e-8 0.05 0.1 0 160000 100
0.01 0.83 OD 2000 1e-8 1e-8 0.2 0.1 0 160000 100
0.01 0.83 OD 2000 1e-8 1e-8 0.05 0.05 0 160000 100
0.01 0.82 OD 2000 1e-8 1e-8 1 0.2 0 320000 100
0.01 0.81 OD 2000 1e-8 1e-8 0.5 0.2 0 160000 100
0.01 0.81 OD 2000 1e-8 1e-8 0.1 0.1 0 160000 100
