alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 0.22 OD 20000 1e-8 1e-8 0.02 0.01 0 160000 100
0.01 0.22 AP 20000 1e-8 1e-8 0.5 0.2 0.25 160000 100
0.01 0.22 AP 20000 1e-8 1e-8 0.05 0.1 0.25 160000 100
0.01 0.22 AP 20000 1e-8 1e-8 0.01 0.01 0.25 160000 100
0.01 0.227722772277228 OD 20000 1e-8 1e-8 0.1 0.1 0 160000 101
0.01 0.21 OD 2000 1e-8 1e-8 0.1 0.5 0 16000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.2 1 0 160000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.2 0.1 0 160000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.1 0.2 0 160000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.1 0.1 0 160000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.1 0.05 0 160000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.05 0.05 0 160000 100
0.01 0.21 OD 20000 1e-8 1e-8 0.01 0.1 0 160000 100
0.01 0.21 AP 20000 1e-8 1e-8 0.2 0.1 0.25 160000 100
0.01 0.21 AP 20000 1e-8 1e-8 0.05 0.02 0.25 160000 100
0.01 0.21 AP 20000 1e-8 1e-8 0.02 0.05 0.25 160000 100
0.01 0.206185567010309 OD 2000 1e-8 1e-8 0.05 0.01 0 16000 97
0.01 0.1 SA 20000 1e-8 1e-8 0.02 0.01 0.25 160000 100
0.01 0.1 OD 20000 1e-7 1e-8 0.1 0.1 0 160000 100
0.01 0.1 OD 20000 1e-7 1e-8 0.05 0.05 0 160000 100
0.01 0.1 OD 20000 1e-7 1e-8 0.05 0.01 0 160000 100
0.01 0.1 OD 20000 1e-7 1e-8 0.01 0.1 0 160000 100
0.01 0.19 SA 20000 1e-8 1e-8 0.1 0.1 0.5 160000 100
0.01 0.19 AP 20000 1e-8 1e-8 0.5 0.5 0.25 160000 100
0.01 0.19 AP 20000 1e-8 1e-8 0.1 0.2 0.25 160000 100
0.01 0.19 AP 20000 1e-8 1e-8 0.02 0.01 0.25 160000 100
0.01 0.18 SA 20000 1e-8 1e-8 0.2 0.1 0.25 160000 100
0.01 0.18 SA 20000 1e-8 1e-8 0.1 0.1 0.25 160000 100
0.01 0.18 SA 20000 1e-8 1e-8 0.1 0.05 0.25 160000 100
0.01 0.18 SA 20000 1e-8 1e-8 0.02 0.02 0.25 160000 100
0.01 0.18 OD 2000 1e-8 1e-8 0.1 0.2 0 16000 100
0.01 0.18 OD 2000 1e-8 1e-8 0.1 0.02 0 16000 100
0.01 0.18 OD 20000 1e-8 1e-8 1 0.1 0 160000 100
0.01 0.18 OD 20000 1e-8 1e-8 0.05 0.1 0 160000 100
0.01 0.18 AP 20000 1e-8 1e-8 0.2 0.2 0.25 160000 100
0.01 0.1875 AP 20000 1e-8 1e-8 0.1 0.1 0.5 160000 64
0.01 0.183333333333333 AP 20000 1e-8 1e-8 0.1 0.1 0.25 160000 60
0.01 0.181818181818182 OD 2000 1e-8 1e-8 0.01 0.05 0 16000 99
0.01 0.17 SA 20000 1e-8 1e-8 0.5 0.5 0.25 160000 100
0.01 0.17 SA 20000 1e-8 1e-8 0.1 0.1 0.5 160000 100
0.01 0.17 OD 2000 1e-8 1e-8 0.05 0.02 0 16000 100
