alpha power seltype Ne rec mut s1 s2 t
0.14 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.15 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 160000
0.16 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.17 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.18 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.19 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.2 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.21 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.22 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.23 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.24 1 OD 2 1e-8 1e-8 0.01 0.02 160000
0.25 1 OD 2 1e-8 1e-8 0.01 0.02 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.0727272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.02 0.109090909090909 OD 2 1e-8 1e-8 0.01 0.02 16000
0.03 0.127272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.04 0.127272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.05 0.145454545454545 OD 2 1e-8 1e-8 0.01 0.02 16000
0.06 0.2 OD 2 1e-8 1e-8 0.01 0.02 16000
0.07 0.254545454545455 OD 2 1e-8 1e-8 0.01 0.02 16000
0.08 0.272727272727273 OD 2 1e-8 1e-8 0.01 0.02 16000
0.09 0.309090909090909 OD 2 1e-8 1e-8 0.01 0.02 16000
0.1 0.327272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.11 0.327272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.12 0.4 OD 2 1e-8 1e-8 0.01 0.02 16000
0.13 0.418181818181818 OD 2 1e-8 1e-8 0.01 0.02 16000
0.14 0.436363636363636 OD 2 1e-8 1e-8 0.01 0.02 16000
0.15 0.436363636363636 OD 2 1e-8 1e-8 0.01 0.02 16000
0.16 0.436363636363636 OD 2 1e-8 1e-8 0.01 0.02 16000
0.17 0.436363636363636 OD 2 1e-8 1e-8 0.01 0.02 16000
0.18 0.436363636363636 OD 2 1e-8 1e-8 0.01 0.02 16000
0.19 0.509090909090909 OD 2 1e-8 1e-8 0.01 0.02 16000
0.2 0.509090909090909 OD 2 1e-8 1e-8 0.01 0.02 16000
0.21 0.509090909090909 OD 2 1e-8 1e-8 0.01 0.02 16000
0.22 0.527272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.23 0.527272727272727 OD 2 1e-8 1e-8 0.01 0.02 16000
0.24 0.545454545454545 OD 2 1e-8 1e-8 0.01 0.02 16000
0.25 0.563636363636364 OD 2 1e-8 1e-8 0.01 0.02 16000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.02 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.03 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.04 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.05 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.06 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.07 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.08 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.09 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.1 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.11 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.12 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.13 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.14 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.15 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.16 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.17 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.18 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.19 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.2 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.21 0.963636363636364 OD 2 1e-8 1e-8 0.01 0.02 320000
0.22 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 320000
0.23 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 320000
0.24 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 320000
