alpha power seltype Ne rec mut s1 s2 h t nsim tf
0.1 0.97 OD 2000 1e-8 1e-7 0.1 0.02 0 320000 100 0.1666667
0.1 0.97 OD 2000 1e-8 1e-7 0.02 0.1 0 320000 100 0.1666667
0.1 0.97 OD 2000 1e-8 1e-7 0.02 0.05 0 320000 100 0.5
0.1 0.97 OD 2000 1e-7 1e-7 0.1 0.1 0 320000 100 0.5
0.1 0.97 OD 2000 1e-7 1e-7 0.1 0.05 0 320000 100 0.3333333
0.1 0.97979797979798 OD 2000 1e-8 1e-8 0.2 0.2 0 320000 99 0.5
0.1 0.979591836734694 OD 2000 1e-8 1e-8 0.1 0.1 0 320000 98 0.5
0.1 0.979166666666667 OD 2000 1e-8 1e-8 0.2 0.2 0 160000 96 0.5
0.1 0.978494623655914 OD 2000 1e-8 1e-8 1 1 0 320000 93 0.5
0.1 0.96 OD 2000 1e-8 1e-8 0.2 0.1 0 320000 100 0.3333333
0.1 0.96 OD 2000 1e-8 1e-8 0.1 0.1 0 160000 100 0.5
0.1 0.96 OD 2000 1e-8 1e-7 1 1 0 16000 100 0.5
0.1 0.96 OD 2000 1e-8 1e-7 1 0.2 0 320000 100 0.1666667
0.1 0.96 OD 2000 1e-8 1e-7 0.5 0.1 0 320000 100 0.1666667
0.1 0.96 OD 2000 1e-8 1e-7 0.2 1 0 160000 100 0.1666667
0.1 0.96 OD 2000 1e-8 1e-7 0.2 0.1 0 32000 100 0.3333333
0.1 0.96 OD 2000 1e-8 1e-7 0.1 0.05 0 32000 100 0.5
0.1 0.96 OD 2000 1e-8 1e-7 0.1 0.02 0 160000 100 0.1666667
0.1 0.96 OD 2000 1e-8 1e-7 0.02 0.01 0 320000 100 0.5
0.1 0.96 OD 2000 1e-7 1e-7 1 1 0 320000 100 0.5
0.1 0.96 OD 2000 1e-7 1e-7 0.2 0.2 0 160000 100 0.5
0.1 0.96 OD 2000 1e-7 1e-7 0.05 0.05 0 320000 100 0.5
0.1 0.96969696969697 OD 2000 1e-8 1e-8 0.5 0.5 0 320000 99 0.5
0.1 0.96969696969697 OD 2000 1e-8 1e-8 0.01 0.01 0 320000 99 0.5
0.1 0.969072164948454 OD 2000 1e-8 1e-8 0.5 0.5 0 160000 97 0.5
0.1 0.96875 OD 2000 1e-8 1e-8 0.2 0.5 0 320000 96 0.2857143
0.1 0.96875 OD 2000 1e-8 1e-8 0.1 0.1 0 320000 96 0.5
0.1 0.95 OD 2000 1e-8 1e-8 0.5 0.2 0 320000 100 0.2857143
0.1 0.95 OD 2000 1e-8 1e-8 0.2 0.1 0 320000 100 0.5
0.1 0.95 OD 2000 1e-8 1e-7 0.5 0.1 0 160000 100 0.1666667
0.1 0.95 OD 2000 1e-8 1e-7 0.1 0.1 0 32000 100 0.5
0.1 0.95 OD 2000 1e-8 1e-7 0.02 0.05 0 160000 100 0.5
0.1 0.95 OD 2000 1e-8 1e-7 0.01 0.02 0 32000 100 0.3333333
0.1 0.95 OD 2000 1e-7 1e-7 0.5 0.5 0 320000 100 0.5
0.1 0.95 OD 2000 1e-7 1e-7 0.2 0.1 0 320000 100 0.3333333
0.1 0.95 OD 2000 1e-7 1e-7 0.05 0.1 0 160000 100 0.3333333
